city ,town id,village id,valid vote,spoiled vote,voter,Election of population,votes of Hsieh Chang-ting(DPP),votes of Ma Ying-jeou (KMT)
Lienchiang County,900701,90070101,956,2,958,1519,43,913
Lienchiang County,900701,0900701002+0900701003,802,3,805,1345,40,762
Lienchiang County,900701,0900701004+0900701005+0900701006+0900701007+0900701008+0900701009,1027,7,1034,1826,54,973
Lienchiang County,900702,0900702004+0900702005+0900702006,548,2,550,958,33,515
Lienchiang County,900702,0900702001+0900702002+0900702003,241,1,242,468,4,237
Lienchiang County,900703,0900703001+0900703002+0900703003,273,3,276,555,7,266
Lienchiang County,900703,0900703004+0900703005,204,0,204,428,17,187
Lienchiang County,900704,0900704001+0900704002,498,1,499,761,22,476
Kinmen County,902001,90200101,1719,3,1722,3074,115,1604
Kinmen County,902001,90200102,3344,19,3363,6022,177,3167
Kinmen County,902001,90200103,1853,9,1862,3419,103,1750
Kinmen County,902001,90200104,1452,7,1459,2723,73,1379
Kinmen County,902001,90200105,1061,8,1069,1959,28,1033
Kinmen County,902001,90200106,621,7,628,1153,19,602
Kinmen County,902001,90200107,753,1,754,1503,50,703
Kinmen County,902001,90200108,1168,7,1175,2220,64,1104
Kinmen County,902002,90200201,1691,5,1696,3070,61,1630
Kinmen County,902002,90200202,592,3,595,1087,14,578
Kinmen County,902002,90200203,372,5,377,632,10,362
Kinmen County,902002,90200204,684,2,686,1287,29,655
Kinmen County,902002,90200205,653,4,657,1190,23,630
Kinmen County,902002,90200206,453,2,455,877,18,435
Kinmen County,902002,90200207,590,3,593,1176,19,571
Kinmen County,902002,90200208,703,6,709,1244,31,672
Kinmen County,902003,90200301,1650,6,1656,3009,106,1544
Kinmen County,902003,90200302,1161,2,1163,2144,82,1079
Kinmen County,902003,90200303,793,8,801,1388,46,747
Kinmen County,902003,90200304,543,4,547,1049,23,520
Kinmen County,902003,90200305,986,5,991,1795,27,959
Kinmen County,902003,90200306,1794,7,1801,3443,120,1674
Kinmen County,902003,90200307,464,1,465,893,21,443
Kinmen County,902003,90200308,475,3,478,910,19,456
Kinmen County,902004,90200401,885,8,893,1707,26,859
Kinmen County,902004,90200402,1243,4,1247,2268,66,1177
Kinmen County,902004,90200403,419,4,423,787,16,403
Kinmen County,902004,90200404,1391,6,1397,2574,83,1308
Kinmen County,902004,90200405,1296,7,1303,2469,47,1249
Kinmen County,902004,90200406,1170,6,1176,2206,101,1069
Kinmen County,902005,90200501,723,2,725,1489,16,707
Kinmen County,902005,90200502,386,0,386,720,9,377
Kinmen County,902005,90200503,548,2,550,1168,11,537
Kinmen County,902005,90200504,941,4,945,1821,41,900
Kinmen County,902005,90200505,386,1,387,761,10,376
Kinmen County,902006,90200601,66,0,66,160,3,63
Kinmen County,902006,90200602,65,1,66,175,3,62
Taipei County,1000101,1000101001,1019,9,1028,1319,380,639
Taipei County,1000101,1000101002,861,10,871,1144,365,496
Taipei County,1000101,1000101003,509,6,515,629,175,334
Taipei County,1000101,1000101004,815,10,825,1016,363,452
Taipei County,1000101,1000101005,1194,12,1206,1542,359,835
Taipei County,1000101,1000101006,3187,35,3222,4128,1328,1859
Taipei County,1000101,1000101007,2028,28,2056,2731,839,1189
Taipei County,1000101,1000101008,3883,37,3920,6504,1632,2251
Taipei County,1000101,1000101009,2801,29,2830,3613,1263,1538
Taipei County,1000101,1000101010,2979,26,3005,3836,1208,1771
Taipei County,1000101,1000101011,3671,41,3712,4555,1153,2518
Taipei County,1000101,1000101012,1878,21,1899,2385,828,1050
Taipei County,1000101,1000101013,1858,21,1879,2336,695,1163
Taipei County,1000101,1000101014,2754,19,2773,3294,521,2233
Taipei County,1000101,1000101015,1824,20,1844,2273,754,1070
Taipei County,1000101,1000101016,2658,37,2695,3423,1161,1497
Taipei County,1000101,1000101017,3176,29,3205,4097,1443,1733
Taipei County,1000101,1000101018,1969,24,1993,2441,758,1211
Taipei County,1000101,1000101019,2488,25,2513,3135,1130,1358
Taipei County,1000101,1000101020,3086,18,3104,3767,1231,1855
Taipei County,1000101,1000101021,2563,27,2590,3264,1202,1361
Taipei County,1000101,1000101022,2882,32,2914,3675,1162,1720
Taipei County,1000101,1000101023,2648,25,2673,3404,1142,1506
Taipei County,1000101,1000101024,2818,24,2842,3367,523,2295
